STUSPS,NAME,SUMIndivid,COUNT
AK,Alaska,18.0000000000000000,1.0000000000000000
AZ,Arizona,410.0000000000000000,5.0000000000000000
CO,Colorado,294.0000000000000000,6.0000000000000000
CT,Connecticut,68.0000000000000000,5.0000000000000000
DC,District of Columbia,,
GA,Georgia,404.0000000000000000,12.0000000000000000
ID,Idaho,196.0000000000000000,2.0000000000000000
IL,Illinois,410.0000000000000000,18.0000000000000000
IN,Indiana,308.0000000000000000,5.0000000000000000
KS,Kansas,90.0000000000000000,5.0000000000000000
KY,Kentucky,306.0000000000000000,5.0000000000000000
MD,Maryland,244.0000000000000000,8.0000000000000000
MN,Minnesota,280.0000000000000000,10.0000000000000000
MS,Mississippi,,
MT,Montana,,
NE,Nebraska,228.0000000000000000,4.0000000000000000
NH,New Hampshire,24.0000000000000000,3.0000000000000000
NM,New Mexico,26.0000000000000000,1.0000000000000000
NC,North Carolina,386.0000000000000000,9.0000000000000000
OK,Oklahoma,84.0000000000000000,2.0000000000000000
PA,Pennsylvania,442.0000000000000000,10.0000000000000000
SC,South Carolina,20.0000000000000000,1.0000000000000000
SD,South Dakota,78.0000000000000000,2.0000000000000000
UT,Utah,204.0000000000000000,4.0000000000000000
VT,Vermont,92.0000000000000000,4.0000000000000000
WI,Wisconsin,154.0000000000000000,4.0000000000000000
WY,Wyoming,,
OR,Oregon,134.0000000000000000,2.0000000000000000
WV,West Virginia,8.0000000000000000,2.0000000000000000
AL,Alabama,8.0000000000000000,1.0000000000000000
AR,Arkansas,,
CA,California,1318.0000000000000000,53.0000000000000000
DE,Delaware,,
FL,Florida,684.0000000000000000,25.0000000000000000
HI,Hawaii,,
IA,Iowa,94.0000000000000000,6.0000000000000000
LA,Louisiana,44.0000000000000000,3.0000000000000000
ME,Maine,90.0000000000000000,6.0000000000000000
MA,Massachusetts,280.0000000000000000,13.0000000000000000
MI,Michigan,856.0000000000000000,20.0000000000000000
MO,Missouri,116.0000000000000000,5.0000000000000000
NV,Nevada,78.0000000000000000,1.0000000000000000
NJ,New Jersey,104.0000000000000000,6.0000000000000000
NY,New York,618.0000000000000000,12.0000000000000000
ND,North Dakota,50.0000000000000000,2.0000000000000000
OH,Ohio,528.0000000000000000,12.0000000000000000
RI,Rhode Island,30.0000000000000000,1.0000000000000000
TN,Tennessee,288.0000000000000000,11.0000000000000000
TX,Texas,1282.0000000000000000,24.0000000000000000
VA,Virginia,232.0000000000000000,14.0000000000000000
WA,Washington,404.0000000000000000,12.0000000000000000
